    0.017	   -0.203	   -0.077	   -0.132	    0.055	    0.018	    0.005	   -6.900
    0.018	   -0.192	   -0.074	   -0.151	    0.057	    0.022	    0.007	   -6.880
    0.018	   -0.201	   -0.083	   -0.158	    0.060	    0.026	    0.009	   -6.860
    0.019	    0.004	   -0.128	   -0.140	    0.060	    0.026	    0.012	   -6.840
    0.017	    0.004	   -0.129	   -0.115	    0.063	    0.028	    0.014	   -6.820
    0.017	    0.004	   -0.120	   -0.103	    0.070	    0.030	    0.016	   -6.800
    0.017	    0.004	   -0.065	   -0.100	    0.072	    0.031	    0.018	   -6.780
    0.017	    0.100	   -0.030	   -0.111	    0.078	    0.038	    0.021	   -6.760
    0.016	    0.115	   -0.001	   -0.109	    0.072	    0.041	    0.023	   -6.740
    0.016	   -0.013	   -0.019	   -0.099	    0.076	    0.042	    0.027	   -6.720
    0.016	   -0.147	   -0.080	   -0.077	    0.084	    0.044	    0.028	   -6.700
    0.017	    0.004	   -0.091	   -0.066	    0.081	    0.045	    0.030	   -6.680
    0.017	    0.004	   -0.062	   -0.064	    0.082	    0.045	    0.031	   -6.660
    0.017	    0.004	   -0.015	   -0.082	    0.085	    0.047	    0.033	   -6.640
    0.018	    0.004	    0.003	   -0.091	    0.090	    0.052	    0.035	   -6.620
    0.018	   -0.200	   -0.005	   -0.092	    0.092	    0.055	    0.036	   -6.600
    0.018	   -0.186	   -0.075	   -0.070	    0.092	    0.056	    0.040	   -6.580
    0.017	   -0.197	   -0.091	   -0.090	    0.097	    0.058	    0.042	   -6.560
    0.017	   -0.207	   -0.049	   -0.103	    0.100	    0.060	    0.043	   -6.540
    0.017	   -0.191	   -0.044	   -0.121	    0.096	    0.063	    0.045	   -6.520
    0.017	    0.004	   -0.034	   -0.126	    0.102	    0.065	    0.047	   -6.500
    0.017	    0.004	   -0.074	   -0.109	    0.104	    0.066	    0.049	   -6.480
    0.017	    0.003	   -0.079	   -0.085	    0.105	    0.067	    0.050	   -6.460
    0.017	    0.003	   -0.078	   -0.063	    0.108	    0.069	    0.054	   -6.440
    0.017	   -0.148	   -0.075	   -0.060	    0.108	    0.070	    0.054	   -6.420
    0.016	   -0.038	   -0.014	   -0.085	    0.107	    0.070	    0.055	   -6.400
    0.016	   -0.096	   -0.006	   -0.096	    0.110	    0.073	    0.056	   -6.380
    0.017	   -0.140	   -0.045	   -0.094	    0.114	    0.075	    0.057	   -6.360
    0.016	    0.004	   -0.081	   -0.073	    0.113	    0.074	    0.059	   -6.340
    0.016	    0.003	   -0.090	   -0.062	    0.114	    0.075	    0.060	   -6.320
